Ship Name,Occupancy,Date,Arrival Datetime,Departure Datetime
Carnival Magic,"4,428",2023-12-13,2023-12-13 08:00:00,2023-12-13 17:00:00
Carnival Magic,"4,428",2023-12-13,2023-12-13 08:00:00,2023-12-13 17:00:00
AIDAdiva,"2,500",2023-12-14,2023-12-14 10:30:00,2023-12-14 19:00:00
Mein Schiff 6,"2,700",2023-12-15,2023-12-15 08:00:00,2023-12-15 19:00:00
Viking Sky,930,2023-12-16,2023-12-16 00:00:00,2023-12-16 00:00:00
Carnival Dream,"4,533",2023-12-19,2023-12-19 08:00:00,2023-12-19 17:00:00
Brilliance Of The Seas,"2,580",2023-12-20,2023-12-20 07:00:00,2023-12-20 17:00:00
Carnival Pride,"2,549",2023-12-20,2023-12-20 08:00:00,2023-12-20 17:00:00
Carnival Glory,"3,581",2023-12-20,2023-12-20 08:00:00,2023-12-20 17:00:00
Brilliance Of The Seas,"2,580",2023-12-27,2023-12-27 07:00:00,2023-12-27 16:00:00
Carnival Pride,"2,549",2023-12-27,2023-12-27 08:00:00,2023-12-27 17:00:00
Celebrity Apex,"3,373",2023-12-27,2023-12-27 08:00:00,2023-12-27 17:00:00
Carnival Glory,"3,581",2023-12-28,2023-12-28 08:00:00,2023-12-28 17:00:00
Mein Schiff 6,"2,700",2023-12-29,2023-12-29 08:00:00,2023-12-29 19:00:00
Brilliance Of The Seas,"2,580",2024-01-03,2024-01-03 07:00:00,2024-01-03 17:00:00
Carnival Spirit,"2,549",2024-01-03,2024-01-03 08:00:00,2024-01-03 17:00:00
Carnival Glory,"3,581",2024-01-04,2024-01-04 08:00:00,2024-01-04 17:00:00
Carnival Pride,"2,549",2024-01-04,2024-01-04 08:00:00,2024-01-04 17:00:00
Celebrity Apex,"3,373",2024-01-09,2024-01-09 07:00:00,2024-01-09 16:00:00
Celebrity Constellation,"2,556",2024-01-09,2024-01-09 08:00:00,2024-01-09 18:00:00
Brilliance Of The Seas,"2,580",2024-01-09,2024-01-09 08:00:00,2024-01-09 17:00:00
Carnival Magic,"4,428",2024-01-10,2024-01-10 08:00:00,2024-01-10 17:00:00
Carnival Dream,"4,533",2024-01-10,2024-01-10 08:00:00,2024-01-10 17:00:00
Carnival Pride,"2,549",2024-01-11,2024-01-11 08:00:00,2024-01-11 17:00:00
AIDAdiva,"2,500",2024-01-11,2024-01-11 10:30:00,2024-01-11 19:00:00
Mein Schiff 6,"2,700",2024-01-12,2024-01-12 08:00:00,2024-01-12 19:00:00
Brilliance Of The Seas,"2,580",2024-01-17,2024-01-17 07:00:00,2024-01-17 16:00:00
Carnival Pride,"2,549",2024-01-17,2024-01-17 08:00:00,2024-01-17 17:00:00
Carnival Glory,"3,581",2024-01-18,2024-01-18 08:00:00,2024-01-18 17:00:00
Celebrity Apex,"3,373",2024-01-23,2024-01-23 07:00:00,2024-01-23 16:30:00
Brilliance Of The Seas,"2,580",2024-01-24,2024-01-24 07:00:00,2024-01-24 16:00:00
Mein Schiff 6,"2,700",2024-01-26,2024-01-26 08:00:00,2024-01-26 19:00:00
Oceania Vista,"1,200",2024-01-28,2024-01-28 08:00:00,2024-01-28 18:00:00
Brilliance Of The Seas,"2,580",2024-01-31,2024-01-31 07:00:00,2024-01-31 16:00:00
Carnival Glory,"3,581",2024-01-31,2024-01-31 08:00:00,2024-01-31 17:00:00
Carnival Pride,"2,549",2024-02-01,2024-02-01 08:00:00,2024-02-01 17:00:00
Celebrity Apex,"3,373",2024-02-06,2024-02-06 07:00:00,2024-02-06 16:00:00
Carnival Spirit,"2,549",2024-02-06,2024-02-06 08:00:00,2024-02-06 17:00:00
Brilliance Of The Seas,"2,580",2024-02-06,2024-02-06 08:00:00,2024-02-06 17:00:00
Carnival Dream,"4,533",2024-02-07,2024-02-07 08:00:00,2024-02-07 17:00:00
Carnival Magic,"4,428",2024-02-07,2024-02-07 08:00:00,2024-02-07 17:00:00
Carnival Pride,"2,549",2024-02-08,2024-02-08 08:00:00,2024-02-08 17:00:00
AIDAdiva,"2,500",2024-02-08,2024-02-08 10:30:00,2024-02-08 19:00:00
Mein Schiff 6,"2,700",2024-02-09,2024-02-09 08:00:00,2024-02-09 19:00:00
Brilliance Of The Seas,"2,580",2024-02-14,2024-02-14 07:00:00,2024-02-14 16:00:00
Carnival Spirit,"2,549",2024-02-14,2024-02-14 08:00:00,2024-02-14 17:00:00
Carnival Pride,"2,549",2024-02-14,2024-02-14 08:00:00,2024-02-14 17:00:00
Carnival Glory,"3,581",2024-02-15,2024-02-15 08:00:00,2024-02-15 17:00:00
Aurora,"2,258",2024-02-18,2024-02-18 00:00:00,2024-02-18 00:00:00
Celebrity Constellation,"2,556",2024-02-18,2024-02-18 08:00:00,2024-02-18 17:00:00
Celebrity Apex,"3,373",2024-02-20,2024-02-20 07:00:00,2024-02-20 16:30:00
Brilliance Of The Seas,"2,580",2024-02-21,2024-02-21 07:00:00,2024-02-21 17:00:00
Ventura,"3,727",2024-02-27,2024-02-27 00:00:00,2024-02-27 00:00:00
Celebrity Constellation,"2,556",2024-02-28,2024-02-28 07:00:00,2024-02-28 17:00:00
Brilliance Of The Seas,"2,580",2024-02-28,2024-02-28 07:00:00,2024-02-28 16:00:00
Carnival Spirit,"2,549",2024-02-28,2024-02-28 08:00:00,2024-02-28 17:00:00
Carnival Glory,"3,581",2024-02-29,2024-02-29 08:00:00,2024-02-29 17:00:00
Carnival Pride,"2,549",2024-02-29,2024-02-29 08:00:00,2024-02-29 17:00:00
Celebrity Apex,"3,373",2024-03-05,2024-03-05 07:00:00,2024-03-05 16:30:00
Brilliance Of The Seas,"2,580",2024-03-05,2024-03-05 08:00:00,2024-03-05 17:00:00
Carnival Spirit,"2,549",2024-03-05,2024-03-05 08:00:00,2024-03-05 17:00:00
Carnival Dream,"4,533",2024-03-06,2024-03-06 08:00:00,2024-03-06 17:00:00
Carnival Magic,"4,428",2024-03-06,2024-03-06 08:00:00,2024-03-06 17:00:00
Carnival Pride,"2,549",2024-03-07,2024-03-07 08:00:00,2024-03-07 17:00:00
Celebrity Constellation,"2,556",2024-03-08,2024-03-08 07:00:00,2024-03-08 17:00:00
Brilliance Of The Seas,"2,580",2024-03-13,2024-03-13 07:00:00,2024-03-13 16:00:00
Carnival Spirit,"2,549",2024-03-13,2024-03-13 08:00:00,2024-03-13 17:00:00
Carnival Pride,"2,549",2024-03-13,2024-03-13 08:00:00,2024-03-13 17:00:00
Carnival Glory,"3,581",2024-03-14,2024-03-14 08:00:00,2024-03-14 17:00:00
Celebrity Apex,"3,373",2024-03-19,2024-03-19 07:00:00,2024-03-19 16:30:00
Brilliance Of The Seas,"2,580",2024-03-20,2024-03-20 07:00:00,2024-03-20 16:00:00
Star Pride,312,2024-03-23,2024-03-23 09:00:00,2024-03-23 16:00:00
Brilliance Of The Seas,"2,580",2024-03-27,2024-03-27 07:00:00,2024-03-27 16:00:00
Carnival Spirit,"2,549",2024-03-27,2024-03-27 08:00:00,2024-03-27 17:00:00
Carnival Glory,"3,581",2024-03-28,2024-03-28 08:00:00,2024-03-28 17:00:00
Carnival Pride,"2,549",2024-03-28,2024-03-28 08:00:00,2024-03-28 17:00:00
Celebrity Apex,"3,373",2024-04-02,2024-04-02 07:00:00,2024-04-02 16:30:00
Brilliance Of The Seas,"2,580",2024-04-03,2024-04-03 07:00:00,2024-04-03 16:00:00
Carnival Dream,"4,533",2024-04-03,2024-04-03 08:00:00,2024-04-03 17:00:00
Carnival Magic,"4,428",2024-04-03,2024-04-03 08:00:00,2024-04-03 17:00:00
Carnival Pride,"2,549",2024-04-04,2024-04-04 08:00:00,2024-04-04 17:00:00
Brilliance Of The Seas,"2,580",2024-04-09,2024-04-09 08:00:00,2024-04-09 17:00:00
Celebrity Apex,"3,373",2024-04-16,2024-04-16 07:00:00,2024-04-16 16:30:00
Brilliance Of The Seas,"2,580",2024-04-17,2024-04-17 07:00:00,2024-04-17 16:00:00
Brilliance Of The Seas,"2,580",2024-04-24,2024-04-24 07:00:00,2024-04-24 16:00:00
Carnival Glory,"3,581",2024-04-25,2024-04-25 08:00:00,2024-04-25 17:00:00
Carnival Dream,"4,533",2024-05-01,2024-05-01 08:00:00,2024-05-01 17:00:00
Carnival Magic,"4,428",2024-05-01,2024-05-01 08:00:00,2024-05-01 17:00:00
ms Europa 2,516,2024-05-05,2024-05-05 13:00:00,2024-05-05 18:00:00
Oceania Marina,"1,447",2024-12-01,2024-12-01 08:00:00,2024-12-01 18:00:00
